feature,mean_abs_shap_oof,mean_abs_shap_fold0,diff
BUREAU_DAYS_ENDDATE_FACT_MAX,0.040726418753613935,0.03387109974873885,0.006855319004875085
ANNUITY_INCOME_RATIO,0.04032694717209508,0.04375180762409634,-0.0034248604520012577
DAYS_ID_PUBLISH,0.03807833210752108,0.0284105270896576,0.009667805017863483
PREV_CNT_PAYMENT_MEAN,0.03798031188829817,0.038043922989388815,-6.361110109064788e-05
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.03706035206692574,0.03118268141219208,0.005877670654733661
PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,0.03554902312182201,0.04426158352156268,-0.008712560399740672
INST_DPD_MEAN,0.0340389974101677,0.02314326366763404,0.01089573374253366
YEARS_BEGINEXPLUATATION_AVG,0.03312912782044093,0.018444444411831587,0.014684683408609345
PREV_APPROVED_AMT_DOWN_PAYMENT_SUM,0.03304685841724957,0.028365769017052254,0.004681089400197312
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MIN,0.0328462852240141,0.027783361561300825,0.005062923662713277
PREV_REFUSED_DAYS_DECISION_MAX,0.03272810483182885,0.04021078907117295,-0.007482684239344103
INST_DPD_STD,0.03134007002511691,0.03513562689615411,-0.0037955568710371992
PREV_APPROVED_AMT_ANNUITY_MEAN,0.03133372406680426,0.030754053531824553,0.0005796705349797038
POS_MONTHS_BALANCE_SIZE,0.030308820657696748,0.026272855707202825,0.004035964950493923
PREV_APPROVED_AMT_APPLICATION_SUM,0.029490243431224,0.023081970789007544,0.006408272642216457
BUREAU_AMT_CREDIT_SUM_MEAN,0.0291940312610754,0.027875578207149282,0.0013184530539261177
CC_UTILIZATION_MAX,0.028781116490607973,0.024906406431943758,0.003874710058664216
PREV_HOUR_APPR_PROCESS_START_MEAN,0.02835233755436845,0.020729991920968173,0.007622345633400276
BUREAU_AMT_CREDIT_SUM_SUM,0.028078266811058746,0.016154962025294463,0.011923304785764283
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.027252192578253398,0.026509691219902584,0.0007425013583508139
PREV_APP_CREDIT_RATIO_MEAN,0.026701092785651876,0.026752037901303153,-5.0945115651276907e-05
REGION_POPULATION_RELATIVE,0.026688066835501945,0.016189133346423804,0.010498933489078141
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.025455173120498456,0.023315725730954338,0.0021394473895441184
PREV_DAYS_DECISION_MIN,0.025046678851396845,0.02104970575730168,0.003996973094095163
INST_DBD_SUM,0.024886264607318208,0.020277363531666086,0.004608901075652122
BUREAU_ACTIVE_DAYS_CREDIT_MAX,0.024436491496392515,0.026019848793908586,-0.0015833572975160713
BUREAU_DAYS_CREDIT_ENDDATE_MAX,0.024397191998608698,0.02186086412113994,0.002536327877468759
DAYS_REGISTRATION,0.0243562390290948,0.018147420741154777,0.006208818287940024
BUREAU_DAYS_CREDIT_MAX,0.022603015131762782,0.018109456153069504,0.004493558978693277
BUREAU_AMT_CREDIT_SUM_MAX,0.02219584882487814,0.02204999216266076,0.00014585666221737792
PREV_AMT_DOWN_PAYMENT_SUM,0.02212886615467783,0.026143385727403518,-0.0040145195727256874
CC_CNT_DRAWINGS_CURRENT_MEAN,0.02208045787939687,0.02455860872820144,-0.00247815084880457
BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,0.020705642761988382,0.017044769329412034,0.0036608734325763483
DAYS_LAST_PHONE_CHANGE,0.020667187455856346,0.014819713569303342,0.0058474738865530035
INST_DBD_STD,0.019905658675710605,0.022878641652859747,-0.002972982977149142
INST_NUM_INSTALMENT_NUMBER_MAX,0.019062980117217822,0.013319620221484484,0.005743359895733338
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.01817971051890173,0.02118970763665596,-0.0030099971177542303
BUREAU_ACTIVE_RATIO,0.01769515235829623,0.009973798181889804,0.007721354176406427
INST_AMT_INSTALMENT_MAX,0.01731275208068336,0.01635184265647621,0.0009609094242071514
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,0.01714493182884095,0.0195604841699857,-0.0024155523411447492
POS_SK_DPD_DEF_MEAN,0.016968937243837637,0.012437230445626784,0.004531706798210853
INST_PAYMENT_PERC_MEAN,0.01690836445564444,0.013099188790750076,0.003809175664894365
BUREAU_CREDIT_ACTIVE_ACTIVE_COUNT,0.016089402344466458,0.017163165838476158,-0.0010737634940096996
BUREAU_DAYS_CREDIT_MEAN,0.014245593778005433,0.012138537591387135,0.0021070561866182985
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_SUM,0.014007873609156396,0.0131955506886856,0.0008123229204707958
CC_UTILIZATION_MEAN,0.013927053780102299,0.021818154094932724,-0.007891100314830425
INST_AMT_INSTALMENT_MEAN,0.013421317250620266,0.007171556726277662,0.006249760524342604
CREDIT_INCOME_RATIO,0.013380140791825548,0.012255338433400792,0.0011248023584247563
BUREAU_ACTIVE_DAYS_CREDIT_MEAN,0.009362806053215674,0.007115268068408621,0.0022475379848070536
EXT_SOURCE_STD,0.00830297576987843,0.003242865969548568,0.005060109800329863
INST_DBD_MAX,0.007642966065916433,0.005282078676815246,0.002360887389101187
PREV_REFUSED_APP_CREDIT_RATIO_MIN,0.006502765537341726,0.005049961047121859,0.0014528044902198676
INST_DBD_MEAN,0.00560090353122734,0.0025211744695132995,0.0030797290617140404
